date,username,text,clean_text,sentiment,sentiment_score,score_negative,score_neutral,score_positive,sarcasm_detected,sarcasm_type,corrected_sentiment
2026-03-16 05:56:28,Kannadi93543434,"@Mahesh10816 @BJP4India Sir, In karnataka we don't reliable with worst Kongress, in that instance JDS is better, but at this movement they can't win independently &amp; also now they are allay in NDA. BJP is also worst in Karnataka, they are busy in adjustment politics. We need to see alternative","Sir, In karnataka we don't reliable with worst Kongress, in that instance JDS is better, but at this movement they can't win independently & also now they are allay in NDA. BJP is also worst in Karnataka, they are busy in adjustment politics. We need to see alternative",Negative,0.7738,0.7738,0.2109,0.0153,False,none,Negative
2026-03-16 05:56:27,komkush,@PetroleumMin Please resign immediately. It is a shame that your government is not able to provide cylinders to hostels in @PMOIndia Modi constituency. Modi perhaps doesn't deserve a next chance,Please resign immediately. It is a shame that your government is not able to provide cylinders to hostels in Modi constituency. Modi perhaps doesn't deserve a next chance,Negative,0.9227,0.9227,0.0722,0.0051,False,none,Negative
2026-03-16 05:56:19,Paradoxica42692,@sidhant Pakistan and Congress leaders are now at the summit of desperation. They are taking matters into their own hands. They want to create an unrest in the country at any cost. https://t.co/vL1qKOzCMG,Pakistan and Congress leaders are now at the summit of desperation. They are taking matters into their own hands. They want to create an unrest in the country at any cost.,Negative,0.8655,0.8655,0.1262,0.0083,False,none,Negative
2026-03-16 05:56:13,ijustsunil,"@PTI_News Prime Minister Narendra Modi, during his recent visits to the state, countered this narrative by stating that the DMK is  rattled  by the NDA's growing popularity and is using such tactics as a diversion from governance issues.","Prime Minister Narendra Modi, during his recent visits to the state, countered this narrative by stating that the DMK is rattled by the NDA's growing popularity and is using such tactics as a diversion from governance issues.",Neutral,0.8202,0.11,0.8202,0.0698,False,none,Neutral
2026-03-16 05:56:09,WitWicket,@sardesairajdeep 5 crore per MLA and still they say no. Respect to those Congress guys who didn't fold. But let's be real—how many actually say no when the suitcase opens in the next room?,5 crore per MLA and still they say no. Respect to those Congress guys who didn't fold. But let's be real—how many actually say no when the suitcase opens in the next room?,Neutral,0.5801,0.3789,0.5801,0.041,False,none,Neutral
2026-03-16 05:56:05,MultibaggAI,"PM NARENDRA MODI STEPS UP ENGAGEMENT WITH IRAN WHILE BALANCING US TIES AS MIDDLE EAST WAR WORSENS, CREATING ECONOMIC HEADWINDS FOR INDIA, IMPLICATIONS FOR ENERGY, TRADE AND GEOPOLITICAL RISKS","PM NARENDRA MODI STEPS UP ENGAGEMENT WITH IRAN WHILE BALANCING US TIES AS MIDDLE EAST WAR WORSENS, CREATING ECONOMIC HEADWINDS FOR INDIA, IMPLICATIONS FOR ENERGY, TRADE AND GEOPOLITICAL RISKS",Neutral,0.7656,0.0668,0.7656,0.1675,False,none,Neutral
2026-03-16 05:56:01,mishra_abhi,"Three Congress MLAs might do cross voting today, ensuring the win for Shivesh Kumar. He needs support of three MLAs.","Three Congress MLAs might do cross voting today, ensuring the win for Shivesh Kumar. He needs support of three MLAs.",Positive,0.5452,0.0072,0.4476,0.5452,False,none,Positive
2026-03-16 05:56:01,elkurian,"@INCIndia @ShashiTharoor As a congress follower ,i say ,it's unnecessary and it will become a burden for the state coffers.","As a congress follower ,i say ,it's unnecessary and it will become a burden for the state coffers.",Negative,0.7461,0.7461,0.24,0.014,False,none,Negative
2026-03-16 05:56:00,pushpasehore,He has categorically said: for our India brothers and sisters ( you know they are anti Modi Indians) who have supported us. Indian govt unabashedly taking the credit.,He has categorically said: for our India brothers and sisters ( you know they are anti Modi Indians) who have supported us. Indian govt unabashedly taking the credit.,Neutral,0.5171,0.0709,0.5171,0.4119,False,none,Neutral
2026-03-16 05:55:58,heysiswhatup,"I thought only congress had the power to declare war… why is everyone silent on this? 

Not one US or Iranian soldier should die.",I thought only congress had the power to declare war… why is everyone silent on this? Not one US or Iranian soldier should die.,Negative,0.8985,0.8985,0.0967,0.0048,False,none,Negative
2026-03-16 05:55:53,Seamanboy2,@AmitShah NIFTY touch 24000 today . BJP will 100% win in Bengal said by Business Community of Bengal https://t.co/tWcxYIYwMq,NIFTY touch 24000 today . BJP will 100% win in Bengal said by Business Community of Bengal,Positive,0.7244,0.0052,0.2704,0.7244,False,none,Positive
2026-03-16 05:55:52,inmy1name,@SupriyaShrinate Media wanted to hear name Modi G is great leader.,Media wanted to hear name Modi G is great leader.,Positive,0.8058,0.0147,0.1796,0.8058,False,none,Positive
2026-03-16 05:55:51,VictorRay17167,@MattooShashank It’s a drama. Just like they blocked Modi’s visa. Behind the scene USA makes sure that BJP/RSS would be in power for long time. They also sanctioned Pakistan multiple times and behind the scene they are playing dirty games.,It’s a drama. Just like they blocked Modi’s visa. Behind the scene USA makes sure that BJP/RSS would be in power for long time. They also sanctioned Pakistan multiple times and behind the scene they are playing dirty games.,Negative,0.7264,0.7264,0.2593,0.0143,False,none,Negative
2026-03-16 05:55:48,CallsignWarWolf,"“I-It isn’t th-the Jews! It’s Muslims!”
Said every Jew or heretical gospel preaching evangelical bastardizer of Christianity ever. 

Ask yourself who owns the biggest migration advocacy movements, civil rights movements, who owns the banks, the institutions, who owns congress, who ran The Epstein operation. 

You’re a stupid fool to seriously think it has nothing to do with Jewry. I will die on this hill.

Christ chased them out of the temple with a whip for making the father’s site into a marketplace for lying and thieving. Don’t try and convince me that they magically changed after 2000+ years after they did 9/11, murder more, starte more wars, and try to pose as whites and say how “we need to atone for racism”- then tax season comes they say “oh we’re not white we’re Jewish”.

Get outta here with this “it’s the Muslims” garbage. You’re a part of the problem.","“I-It isn’t th-the Jews! It’s Muslims!” Said every Jew or heretical gospel preaching evangelical bastardizer of Christianity ever. Ask yourself who owns the biggest migration advocacy movements, civil rights movements, who owns the banks, the institutions, who owns congress, who ran The Epstein operation. You’re a stupid fool to seriously think it has nothing to do with Jewry. I will die on this hill. Christ chased them out of the temple with a whip for making the father’s site into a marketplace for lying and thieving. Don’t try and convince me that they magically changed after 2000+ years after they did 9/11, murder more, starte more wars, and try to pose as whites and say how “we need to atone for racism”- then tax season comes they say “oh we’re not white we’re Jewish”. Get outta here with this “it’s the Muslims” garbage. You’re a part of the problem.",Negative,0.8715,0.8715,0.119,0.0095,False,none,Negative
2026-03-16 05:55:48,VyasSiddarth,"@Akshay_VAK @sreemoytalukdar Yet despite this modi greenlighted the war 
Akshay at least admit there was error in strategic thinking 
Yes dancing in Israel = implict permission to greenlight the war .",Yet despite this modi greenlighted the war Akshay at least admit there was error in strategic thinking Yes dancing in Israel = implict permission to greenlight the war .,Negative,0.6829,0.6829,0.3048,0.0123,False,none,Negative
2026-03-16 05:55:46,rightseer,"@alwarkadiyaan @Aadii009 BJP may award him Padma next, you never know
Dont field for BJP","BJP may award him Padma next, you never know Dont field for BJP",Neutral,0.747,0.0435,0.747,0.2095,False,none,Neutral
2026-03-16 05:55:46,IamReaper08,@notarandomun @Tracking_Live Well bjp is bad in some department but congress is worse thing that can happen to india right now,Well bjp is bad in some department but congress is worse thing that can happen to india right now,Negative,0.8819,0.8819,0.1069,0.0112,False,none,Negative
2026-03-16 05:55:42,DrAbSingh90,I think if we vote BJP you can already sense what the future may look like a pure dictatorship with no value for human life. I don’t mind if we don’t have any other option will create one. But not this one.,I think if we vote BJP you can already sense what the future may look like a pure dictatorship with no value for human life. I don’t mind if we don’t have any other option will create one. But not this one.,Negative,0.7507,0.7507,0.2344,0.0149,False,none,Negative
2026-03-16 05:55:37,kurapikaSama2,"@rishibagree Modi and his govt gave up on her and let jihadis run wild. Had they stood with her , she would be safe &amp; free today.  Since bjp rss &amp; modiji had no backbone, she got bullied. Now she is nothing but hiding for her life, and you shameless bunch take credit for her miserable life🤣","Modi and his govt gave up on her and let jihadis run wild. Had they stood with her , she would be safe & free today. Since bjp rss & modiji had no backbone, she got bullied. Now she is nothing but hiding for her life, and you shameless bunch take credit for her miserable life🤣",Negative,0.8044,0.8044,0.1783,0.0173,False,none,Negative
2026-03-16 05:55:31,ijustsunil,"@PTI_News Chief Minister M.K. Stalin and the DMK have promoted this slogan to suggest that the NDA (led by the BJP) consistently opposes Tamil Nadu's requests, leading to their campaign message:  The fight is between the people of Tamil Nadu and the NDA.","Chief Minister M.K. Stalin and the DMK have promoted this slogan to suggest that the NDA (led by the BJP) consistently opposes Tamil Nadu's requests, leading to their campaign message: The fight is between the people of Tamil Nadu and the NDA.",Neutral,0.6165,0.3611,0.6165,0.0223,False,none,Neutral
2026-03-16 05:55:25,DevdanChaudhuri,"@MarioNawfal Overwhelming majority of Indians including all the opposition political parties are standing with Iran, and criticising the right wing BJP Government and demanding the removal / resignation of Modi.","Overwhelming majority of Indians including all the opposition political parties are standing with Iran, and criticising the right wing BJP Government and demanding the removal / resignation of Modi.",Neutral,0.664,0.2391,0.664,0.0969,False,none,Neutral
2026-03-16 05:55:23,mouryaamit97,"What about sister getting raped in BJP governed states? By your so called dabe kuchle SC/ST people?

You are responsible for every mishap happening today due to the worst policies that you made.

#Shameon_U_Modiji",What about sister getting raped in BJP governed states? By your so called dabe kuchle SC/ST people? You are responsible for every mishap happening today due to the worst policies that you made. Shameon_U_Modiji,Negative,0.938,0.938,0.0571,0.0049,True,so_called,Negative
2026-03-16 05:55:22,akraz0,@Loga_70 If you  don't want bjp and dmk .then vote for #tvk,If you don't want bjp and dmk .then vote for tvk,Negative,0.5599,0.5599,0.4211,0.0191,False,none,Negative
2026-03-16 05:55:18,NaniBellary,"@nkk_123 3 / 4 : Yr @GuptaPragnya has having her periods today :
https://t.co/bHqaJwx2z2",3 / 4 : Yr has having her periods today :,Neutral,0.9579,0.0176,0.9579,0.0245,False,none,Neutral
2026-03-16 05:55:15,suno_idhar_aao,"From remote villages to tribal areas, the reach of #HarGharJal continues to expand. The mission is ensuring that development touches every home, not just big cities. https://t.co/7tQxXCzQ2y","From remote villages to tribal areas, the reach of HarGharJal continues to expand. The mission is ensuring that development touches every home, not just big cities.",Positive,0.7722,0.0057,0.2221,0.7722,False,none,Positive
2026-03-16 05:55:13,nic83198,We don't care what you think you want. We won the election. Get over it. Isn't your time in congress over?,We don't care what you think you want. We won the election. Get over it. Isn't your time in congress over?,Negative,0.6885,0.6885,0.2772,0.0343,False,none,Negative
2026-03-16 05:55:12,maheshsunda,"@CommonBS786OM My Prediction for BJP 👇
2026:

Lose WB
As a party will lose TN, but NDA will form govt
Win big in AS. INC wiped out
Lose KL, INC wiped out
May lose PDY but NDA+TVK will form govt

2027:
Win UP
Lose Punjab but NDA govt
Win Manipur
May win UK
Lose HP but NDA govt","My Prediction for BJP 👇 2026: Lose WB As a party will lose TN, but NDA will form govt Win big in AS. INC wiped out Lose KL, INC wiped out May lose PDY but NDA+TVK will form govt 2027: Win UP Lose Punjab but NDA govt Win Manipur May win UK Lose HP but NDA govt",Neutral,0.6434,0.279,0.6434,0.0776,False,none,Neutral
2026-03-16 05:55:10,with_solidarity,"@RURALINDIA @parakala 105-139-50  BJP-TMC-Others BJP already fixed Election just like Indian team fixed T20WC BJP win will make Non Bengali Men impregnate Bengali Women &amp; slowly wipe out whole Bengali race. Non Bengali Muslims in WB are not under adjudication, only Bengali muslims finding themselves.","105-139-50 BJP-TMC-Others BJP already fixed Election just like Indian team fixed T20WC BJP win will make Non Bengali Men impregnate Bengali Women & slowly wipe out whole Bengali race. Non Bengali Muslims in WB are not under adjudication, only Bengali muslims finding themselves.",Negative,0.5103,0.5103,0.4665,0.0232,True,election_fraud,Negative
2026-03-16 05:55:10,ShanuJoshi3,@HindutvaDon_ Delhi police is the same tattu who are illitrate and even lick anything for money. Its really the high time to create a Party who really works for hindus cayse even BJP looks compromised now. Its time to show unity and create a party with literates who ensures safeguarding Hindus,Delhi police is the same tattu who are illitrate and even lick anything for money. Its really the high time to create a Party who really works for hindus cayse even BJP looks compromised now. Its time to show unity and create a party with literates who ensures safeguarding Hindus,Negative,0.7273,0.7273,0.2503,0.0224,False,none,Negative
