original_index,clean_text,model_sentiment,model_score,human_sentiment,human_sarcasm,date,username
1132,Exactly like Modi from Black skin to white,Neutral,0.9982888912944383,Negative,False,2026-03-16 05:20:35,mullaebrahim
1133,"Dear Chennai Metro Team, Some passengers are watching reels or videos on their phones with full volume inside the metro, which disturbs other commuters. Kindly ensure staff monitor such behavior and remind passengers to keep phone volumes low. Also, despite signboards prohibiting eating inside the metro, some passengers are still doing so. Request stricter enforcement to maintain discipline and comfort for everyone. Thank you.",Neutral,0.972267528672608,Neutral,False,2026-03-16 05:20:32,Jaimodisarkar
1134,"She had clearly made Pro-Palestine shouts but no she saying Indian history like it actually is, calling Modi to her wedding, going to Ram Mandir nullifies everything?? This just exposes your motive. The people who hold “🇵🇸” in their bios are just so conflicting and performative.",Negative,0.922776100913072,Negative,False,2026-03-16 05:20:31,user_sed
1138,Women power India’s iPhone manufacturing via NaMo App,Positive,0.9999996289903299,Positive,False,2026-03-16 05:20:21,goswamimihircob
1139,Development you can see. Progress you can trust. April 9 — Assam will vote for Development. AakoEbarBJPSarkar,Positive,0.9984259545555465,Positive,False,2026-03-16 05:20:21,BJP4Jharkhand
1140,Do you remember this? The shamelessness of Congress!,Negative,0.9983521991135847,Negative,False,2026-03-16 05:20:21,srinivasangopal
1141,India’s Press Note 3 revision opens up economic opportunities without giving security short shrift via NaMo App,Positive,0.9999857528085869,Positive,False,2026-03-16 05:20:18,goswamimihircob
1145,"Congress of at least 1 chamber or even both, historically changes midterm anyway. You're way off base.",Neutral,0.9947833686285001,Neutral,False,2026-03-16 05:20:14,BigHarryBallzak
1146,"Mumbai bjp govt doing open corruption killing senior citizen, sixtympercent in redevelopment share goes in pocket of goverment, worst management",Negative,0.9811086854331214,Negative,False,2026-03-16 05:20:13,dannyrhira
1148,"Don't trust BJP and Amit Shah, even a bit. They don't perform as per their poll promise, it's all 'Jumla' for them. In 12 yrs Modi govt has not even deported a thousand Bangladeshi illegals. No law on conversion in BJP ruled states.",Negative,0.9980081902324087,Negative,False,2026-03-16 05:20:09,dillidialogue
1149,"If it was staged, Biden staged it. Kimberly Ann Cheatle, Fresh from bottling Pepsi cola was Biden's DEI pick to be director of US Secret Service. Her leadership produced this response. Congress investigated 10 days after the shooting and she was fired the next day.",Negative,0.9923439246023393,Negative,False,2026-03-16 05:20:08,Biyy220Yy
1151,Congress should arrange best Dalit and obc doctors for her then??,Neutral,0.9959511065412637,Negative,False,2026-03-16 05:20:08,Letbehonest0077
1152,Managing relations with the US Russia Iran and Israel simultaneously is a masterclass in modern foreign policy and leadership.,Neutral,0.9346956007954796,Positive,False,2026-03-16 05:20:07,Bharatheeyam9
1153,"It maintains good relation with all, ramped up economy, pulled 25 crore out of poverty & modernized Armed Forces. This aspect of Modi Governance can't be ignored. PM Modi has transformed Bharat into a global powerhouse that no longer takes sides but leads on its own terms.",Positive,0.9999981167306244,Positive,False,2026-03-16 05:20:06,Bharatheeyam9
1157,105-139-50 BJP-TMC-Others BJP already fixed Election just like Indian team fixed T20WC,Neutral,0.9822433479258117,Negative,False,2026-03-16 05:19:53,with_solidarity
1158,India PM modi is still quiet .🤢 Narendra Modi was one of best friend of Benjamin Netanyahu. 🥵,Negative,0.9170710446342334,Negative,False,2026-03-16 05:19:50,Vikesh_CE
1160,Development you can see. Progress you can trust. April 9 — Assam will vote for Development. AakoEbarBJPSarkar,Positive,0.9984259545555465,Positive,False,2026-03-16 05:19:49,cmpatowary
1161,Our whole congress has been taken over and clap for a foreign power like a bunch of pathetic hungry pets. We speak of foreign influence and turn a blind eye to Israel. Why does a foreign nation have more influence in our congress than the actual people they should be representing. Now they are dragging us into a war. This war will be the death of our children not theirs. Your political cliques and virtue signaling won't matter when your son is brought back in a bag. Has Israel ever deployed any troops to assist in U.S. military operations? How many rounds of applause/standing ovation did Netanyahu receive during his July 2024 meeting with congress and how long was the meeting?,Negative,0.9970691102007747,Negative,False,2026-03-16 05:19:48,hatfield77827
1165,You were part of BJP government and now you blame your own party???!!!!Very Bad on your part Smritiji- Ex minister of BJP,Negative,0.9195048733561837,Negative,False,2026-03-16 05:19:36,sheetalsangole
1166,"balancing that rarely any country in the world can pull it off. *Under PM Modi, Bharat isn’t choosing sides anymore... It’s playing the entire board. 🇮🇳* Last 10 years, Bharat remained relatively immune from external shocks & worked on building Internal Resilience",Positive,0.9993069454084474,Positive,False,2026-03-16 05:19:34,Bharatheeyam9
1168,M. face by LDF in Palakkad will help BJP. Palakkad,Positive,0.9882391236217394,Positive,False,2026-03-16 05:19:32,AkC_Vibes
1170,Minister Babush Monserrate said that the decision on the post of Mayor will be taken by consulting the BJP. CCP Mayor GoaPolitics,Neutral,0.9731405887153751,Neutral,False,2026-03-16 05:19:30,goanewshub
1173,"He he he... Same old story from CONgress and AAP. When they know they are losing they come out with such hawa hawais. Second, why are these MLAs only approached? Do the other know who bikau is?",Negative,0.9888311175890151,Negative,False,2026-03-16 05:19:29,shripal100
1174,Anti-muslim rant is fake. She was sent to India by Israel in order to subvert masses & make Indians go against Iran. It didn't happen & Indians are sympathizing with Iran. Her anti-Pakistan rant is also fake.,Negative,0.9690059982725163,Negative,False,2026-03-16 05:19:28,travelramble_
1175,No program for development and harmony!? Just infiltration is the issue even though they are responsible for Borders security for 12 years!? Elections Propaganda!?,Negative,0.9956064929731762,Negative,False,2026-03-16 05:19:28,mmali1960
1176,"What to expect from a Champagne Left Lib. They dont see any good. They actually WISH that Modi/India Fail, that there is Fuel crisis only to spite Modi They are Vighna-santoshi I just spent few days living in the Himalay. Ask them. They have elec, toilet, gas, road",Negative,0.9962832173504298,Negative,False,2026-03-16 05:19:27,pravingandhino1
1177,"lol ""Activist"" ! Vicky Thomas Singh is a congress stooge",Negative,0.9373338059631957,Negative,False,2026-03-16 05:19:26,dr_rabbitoski
1179,For those Congressis who were questioning Modi ji's diplomacy with Iran for granting permission to two oil tankers of India to ass the Strait of Hormuz. This would have been the result...,Neutral,0.9915126147247265,Negative,False,2026-03-16 05:19:24,nimopoornima
1180,RSS BJP VHP Leaders and Supporters is just like a Group of Looser in the India These are the people responsible for all the Financial losses in India. These people have brought India to ruin.,Negative,0.9943076713923952,Negative,False,2026-03-16 05:19:24,SsSamstm
1183,Amit Shah please explain. What is going on. Action necessary.,Neutral,0.966071438011116,Neutral,False,2026-03-16 05:19:21,pramodshukla671
1184,Whenever crisis hits our share market our beloved Modi ji aise ho jate hai 😂,Neutral,0.9079173693645206,Negative,False,2026-03-16 05:19:18,digitalramdas
1186,105-139-50 BJP-TMC-Others BJP already fixed Election just like Indian team fixed T20WC,Neutral,0.9822433479258117,Negative,False,2026-03-16 05:19:13,with_solidarity
1187,"PM Narendra Modi shared this motivational video highlighting ancient wisdom: good health is life's greatest asset, and exercise is key to it. He wishes all Indians a healthy, happy life. The Sanskrit verses (with Hindi/English translations) state: Exercise yields health, longevity, strength & happiness. Good health is the ultimate blessing & means to achieve everything. The clip uses serene Indian village visuals to inspire fitness.",Positive,0.9962939676425676,Positive,False,2026-03-16 05:19:11,grok
1189,90 percent of this country should be irate. And if you were on the fence about our congress not actually caring bout what we want. FIRE THEM ALL!! PASS THE SAVE AMERICA ACT NOW! You have no excuses! Get it done. These people don't give a shit about us!! They're ALL LYING TO US!!,Negative,0.9617784233739408,Negative,False,2026-03-16 05:19:09,RyanLink4
1190,All these fellows are dirty bastards. Only Modi and Yogi are best,Negative,0.9379466967013924,Negative,False,2026-03-16 05:19:09,MkrHebbar
1191,Dual citizenship in congress should be seen as treason. ONLY $GOYIM ALLOWED,Negative,0.9766344351809312,Negative,False,2026-03-16 05:19:09,LifeOfBeef
