clean_text,corrected_final,true_label
"Keep an eye on the Haryana Rajya Sabha election. Would be quite something if it quietly turns into another “Himachal's Singhvi moment” for Congress. After all, Haryana has its own history of “Galti se mistake.”",Neutral,Neutral
"Why hasn't Modi 3.0 revised the history curriculum, which appears to be propaganda? When will the mandarins in the education ministry awaken from seven decades of slumber? Hindus will not remain silent in the face of this injustice.",Negative,Negative
"Yes, this video is edited/manipulated. It's spliced clips from Indian Parliament sessions (Sansad TV), but no credible Indian media or records show any MP saying Modi is ""worthless"" for ""kneeling to America"" while praising Khamenei. The audio/translation appears dubbed to push a narrative amid current Iran events. Real footage repurposed.",Neutral,Neutral
"This numbers are crap.. If you want to play number game, ask BJP why didn’t they have not done census yet in this many years? If reality comes out Hindus start to cry all over country, and start to find rathole. And forget WB, it’s total gone case as that guy said in the video.",Negative,Negative
"Modi ji’s childhood now sounds less like a biography and more like a Marvel origin story. • Sold tea ☕ • Served soldiers in 1965 🇮🇳 • Raised a baby crocodile 🐊 • Traveled to ashrams 🧘 • RSS pracharak 📿 • Cleaned & cooked at RSS office 🍲 • Used digital camera in 1987-88 📷 • Emailed black & white photo before the internet era 💻 • Suggested clouds could hide jets ☁️✈️ • Said ancient India had genetic science 🧬 • And apparently made a robot in school 🤖 At this rate, the next update will be: NASA once consulted young Modi ji before launching rockets. 🚀😅",Negative,Negative
Pro bjp? Emaina statements ichinda I support bjp ani?,Neutral,Neutral
"Wherever the BJP is ruling the situation is the same. Worst roads, farmers suicides, rapes, atrocities on Dalits and Minorities, corruption . Still they are winning the elections.",Negative,Negative
Assam Pradesh Congress Committee president Gaurav Gogoi expressed disappointment over the poor condition of Zubeen Khetra and promised that it would be rebuilt within three months if Congress forms the government in the state.,Negative,Neutral
"Bjp government will not provide justice, because victim is from general caste..",Negative,Negative
Equally there should be no Jews in congress either …..,Negative,Negative
It would be poetic justice if he would have voted for Modi.,Neutral,Neutral
"Trinamool Congress walks out of Rajya Sabha for the day in protest against EC’s decision to replace West Bengal chief secretary and principal secretary, home and hill affairs.",Neutral,Neutral
"So he meant that if Indian bound ships passes through Hormuz, it is not because of govt, it will be because of non bjp voters and supporters. Chullu bhar paani mein doob maro andh bhakto.",Neutral,Negative
AAP never fails to entertain They have reduced themselves to clowns in circus,Negative,Negative
"MCC is in place and all posters are to be removed, but it's unfortunate that PM Modi's cutout have been deliberately torn like this. Let us ask who can do this, who's most upset of him coming to Kolkata ?? This low grade politics BJP will atleast never do anywhere.",Negative,Negative
Do you know that BJP wants to setup or have already set missionary cells in Mizoram?,Neutral,Neutral
Sach me yar sach me kya BJP ke pass ye mudde rahte h or log murkh ban jate h,Neutral,Negative
"105-139-50 BJP-TMC-Others BJP already fixed Election just like Indian team fixed T20WC BJP win will make Non Bengali Men impregnate Bengali Women & slowly wipe out whole Bengali race. Bihari Muslims are not under adjudication, on Bengali muslims",Neutral,Negative
"The bottom line is Iran couldn't stop Indian Ship. BJP paid back 4300000000000 ruees back to Iran, which previous govt had put burden on our country.",Negative,Neutral
"Actually, the pResident, Rubio, Hegeseth, and the rest of the traitors in the administration, Congress, and the Intelligence Agencies, should be arrested for that crime. They've all sold out their country on behalf of a foreign, quite evil country, Israel.",Negative,Negative
MIGA is already taken by Indian PM Modi during his USA visit. Please find something thing else for Iran,Neutral,Neutral
Woahh chill bro .. BJP is not in the game itself in TN.. Adhuku aprom dan winning dream la😂,Negative,Neutral
